STYLE,DESC,CATEGORY,LOT,QOH_CASES,UPC_SKU_2,PRICE_CS,PRICE_UNIT,SIZE
MD37-1639-D,14-Inch Deluxe Velvet Poinsett,Long-Stem Flowers,C48,0,840364216392,10.00,1.00,
MD40-1640,"12"""" Reindeer Centerpiece",Tabletop Décor,C24,0,840364216408,10.00,1.00,
MD40-1641,"16"""" Reindeer Centerpiece",Tabletop Décor,C12,0,840364216415,10.00,1.00,
MD40-1642,Velvet Standing Reindeer Figur,Tabletop Décor,C12,72,840364216422,10.00,1.00,
MD40-1643,Velvet Sitting Reindeer Figuri,Tabletop Décor,C12,24,840364216439,10.00,1.00,
MD40-1643-D,Velvet Sitting Reindeer Figuri,Tabletop Décor,C12,0,840364216439,10.00,1.00,
MD41-1644,"22"""" Pine Wreath With Poinsett",Pre-Deco Pine Theme,C12,0,840364216446,10.00,1.00,
MD41-1645,"24"""" Teardrop Wreath with Poin",Pre-Deco Pine Theme,C24,48,840364216453,10.00,1.00,
MD41-1646,"72"""" Pine Garland with Poinset",Pre-Deco Pine Theme,C12,0,840364216460,10.00,1.00,
PA14A-1996-D,8FT PRE-LIT PE MIXED TIPS CHRI,Trees,C1,0,840364219966,10.00,1.00,
PA14A-1997-D,8FT PRE-LIT PE MIXED TIPS CHRI,Trees,C1,0,840364219973,10.00,1.00,
PA14A-1998-D,"7FT GREEN PVC TREE WITH 1,152",Trees,C1,0,840364219980,10.00,1.00,
PG-04931,9PK ICICLE ORNAMENT Two Tone O,Inactive,C72,0,840364204931,10.00,1.00,
PG-04948,1PK Tall Cocoa Ornament,Inactive,C48,0,840364204948,10.00,1.00,
PG-04948-D,1PK Tall Cocoa Ornament,Pepe Ganga,C48,0,840364204948,10.00,1.00,
PG-04955,2PK CANDY CANE WITH HOLLY ORNA,Inactive,C72,0,840364204955,10.00,1.00,
PG-04962,9PK ICICLE ORNAMENT Two Tone O,Inactive,C72,0,840364204962,10.00,1.00,
PG-04979,9PK ICICLE ORNAMENT Two Tone O,Inactive,C72,0,840364204979,10.00,1.00,
PG-04986,9PK ICICLE ORNAMENT Two Tone O,Inactive,C72,0,840364204986,10.00,1.00,
PG-04993,1PK Tall Cocoa Ornament,Inactive,C48,0,840364204993,10.00,1.00,
PG-04993-D,1PK Tall Cocoa Ornament,Pepe Ganga,C48,0,840364204993,10.00,1.00,
PG-05174,9PK ICICLE ORNAMENT Two Tone O,Inactive,C72,0,840364205174,10.00,1.00,
PG-05181,2PK CANDY CANE WITH HOLLY ORNA,Inactive,C72,0,840364205181,10.00,1.00,
PG-05198,2PK CANDY CANE WITH HOLLY ORNA,Inactive,C72,0,840364205198,10.00,1.00,
PG-05266,9PK ICICLE ORNAMENT Two Tone O,Inactive,C72,0,840364205266,10.00,1.00,
PG-05273,1PK RG ORNAMENT,Inactive,C48,0,840364205273,10.00,1.00,
PG-05273-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205273,10.00,1.00,
PG-05280,1PK RG ORNAMENT,Inactive,C48,0,840364205280,10.00,1.00,
PG-05280-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205280,10.00,1.00,
PG-05297,1PK RG ORNAMENT,Inactive,C48,0,840364205297,10.00,1.00,
PG-05297-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205297,10.00,1.00,
PG-05372,1PK RG ORNAMENT,Inactive,C48,0,840364205372,10.00,1.00,
PG-05372-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205372,10.00,1.00,
PG-05693,1PK RG ORNAMENT,Inactive,C48,0,840364205693,10.00,1.00,
PG-05693-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205693,10.00,1.00,
PG-05709,1PK RG ORNAMENT,Inactive,C48,0,840364205709,10.00,1.00,
PG-05709-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205709,10.00,1.00,
PG-05716,1PK RG ORNAMENT,Inactive,C48,0,840364205716,10.00,1.00,
PG-05716-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205716,10.00,1.00,
PG-05839,1PK RG ORNAMENT,Inactive,C48,0,840364205839,10.00,1.00,
PG-05839-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205839,10.00,1.00,
PG-05846,1PK RG ORNAMENT,Inactive,C48,0,840364205846,10.00,1.00,
PG-05846-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205846,10.00,1.00,
PG-05853,1PK RG ORNAMENT,Inactive,C48,0,840364205853,10.00,1.00,
PG-05853-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205853,10.00,1.00,
PG-05860,1PK RG ORNAMENT,Inactive,C48,0,840364205860,10.00,1.00,
PG-05860-D,1PK RG ORNAMENT,Pepe Ganga,C48,0,840364205860,10.00,1.00,
PS21-1648,"10""""GINGERBREAD Sandbag",Plush,C24,24,840364216484,10.00,1.00,
PS21-1648-D,"10""""GINGERBREAD Sandbag",Plush,C24,0,840364216484,10.00,1.00,
PS21-1649,"12"""" SITTING GINGERBREAD",Plush,C12,24,840364216491,10.00,1.00,
PS21-1649-D,"12"""" SITTING GINGERBREAD",Plush,C12,0,840364216491,10.00,1.00,
PS21-1650,"15"""" SITTING GINGERBREAD With",Plush,C24,48,840364216507,10.00,1.00,
PS21-1651,"15"""" STANDING GINGERBREAD",Plush,C12,24,840364216514,10.00,1.00,
